Thumb,Index,Middle,Ring,Pinky,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Letter
0,0,0,0,0,4.80,-4.93,-6.59,-0.30,-0.02,0.01,A
0,0,0,0,0,5.00,-4.77,-6.30,-0.46,0.16,-0.16,A
0,0,0,0,0,4.91,-4.96,-6.13,-0.21,0.06,-0.10,A
0,0,0,0,0,5.70,-6.26,-6.23,4.37,-1.16,-0.98,A
0,0,0,0,0,7.00,-4.54,3.89,2.42,0.10,-1.30,A
16,0,0,0,0,7.71,-4.53,5.85,0.17,0.02,-0.59,A
24,0,0,0,0,8.17,-3.47,4.92,-0.40,0.06,-0.36,A
0,0,0,0,0,8.35,-3.80,4.50,-0.50,0.19,-0.14,A
18,0,0,0,0,6.73,-5.13,4.96,-0.92,0.18,0.24,A
0,0,0,0,0,6.53,-4.81,4.01,-1.33,1.01,0.38,A
0,0,0,0,0,7.93,-3.88,4.31,-0.15,1.58,0.10,A
16,0,0,0,0,7.95,-5.06,6.18,0.29,1.61,0.39,A
37,0,0,0,0,5.52,-7.83,8.50,0.11,0.70,0.26,A
93,0,0,0,0,4.04,-6.55,7.04,-0.61,0.29,0.15,A
0,0,0,0,0,3.87,-5.60,8.12,0.07,0.58,0.20,A
0,0,0,0,0,2.11,-6.71,8.63,-0.13,0.11,0.76,A
0,0,0,0,0,1.90,-6.17,8.54,0.36,0.17,0.22,A
0,0,0,0,0,1.61,-6.46,8.54,-0.11,-0.11,-0.07,A
0,0,0,0,0,2.09,-6.06,8.41,0.05,-0.06,-0.17,A
0,0,0,0,0,2.29,-5.42,8.72,-0.09,-0.15,0.04,A
0,0,0,0,0,2.29,-5.88,8.79,-0.09,0.04,0.10,A
0,0,0,0,0,2.20,-5.54,8.91,-0.11,-0.01,0.09,A
0,0,0,0,0,2.07,-5.79,8.87,-0.12,-0.00,0.09,A
0,0,0,0,0,2.00,-6.02,8.80,-0.11,-0.01,0.03,A
0,0,0,0,0,2.15,-5.93,8.86,-0.11,0.02,-0.02,A
0,0,0,0,0,2.15,-5.66,8.71,-0.12,-0.01,-0.03,A
0,0,0,0,0,2.01,-5.69,8.69,-0.09,0.02,0.03,A
0,0,0,0,0,2.07,-5.87,8.61,-0.05,0.11,0.04,A
0,0,0,0,0,2.02,-5.96,9.12,-0.03,0.06,-0.02,A
0,0,0,0,0,1.98,-5.72,8.85,-0.10,0.03,-0.02,A
0,0,0,0,0,1.69,-5.68,9.18,0.16,0.29,-0.00,A
0,0,0,0,0,1.67,-5.58,8.97,-0.19,-0.02,-0.02,A
0,0,0,0,0,1.50,-5.72,8.36,-0.41,0.10,0.07,A
0,0,0,0,0,1.29,-6.20,8.63,-0.04,0.25,0.04,A
0,0,0,0,0,1.66,-6.46,8.94,0.21,0.24,-0.16,A
0,0,0,0,0,0.75,-5.48,8.42,-0.38,0.19,0.09,A
0,0,0,0,0,0.79,-6.99,9.60,-0.08,0.10,-0.03,A
0,0,0,0,0,0.33,-6.42,8.34,0.19,0.15,0.14,A
0,0,0,0,0,-0.34,-6.19,8.17,0.16,0.46,-0.23,A
0,0,0,0,0,1.01,-6.63,8.42,-0.25,0.66,-0.10,A
0,0,0,0,0,0.46,-7.69,9.06,-4.37,1.80,1.90,A
0,0,0,0,0,-4.87,-11.08,-0.92,-1.29,-1.60,-0.39,A
0,0,0,0,0,-2.11,-10.07,-2.30,-1.41,0.38,0.49,A
0,0,0,0,0,-1.25,-6.26,-2.89,-1.48,-0.34,0.44,A
0,0,0,0,0,-2.41,-6.62,-4.01,0.13,-0.01,0.08,A
0,0,0,0,0,-3.65,-7.36,-4.41,0.21,0.09,0.08,A
0,0,0,0,0,-3.70,-8.09,-3.59,0.02,0.03,0.09,A
0,0,0,0,0,-3.22,-8.41,-3.05,-0.16,-0.03,-0.08,A
0,0,0,0,0,-3.55,-7.50,-4.15,-0.18,-0.04,-0.12,A
0,0,0,0,0,-3.18,-8.22,-3.49,-0.33,0.04,-0.08,A
0,0,0,0,0,-3.47,-7.35,-4.39,-0.21,0.05,-0.10,A
0,0,0,0,0,-3.17,-7.88,-4.11,-0.26,0.00,-0.12,A
0,0,0,0,0,-3.10,-7.59,-4.76,-0.29,0.01,-0.11,A
0,0,0,0,0,-3.17,-8.09,-4.27,-0.16,0.06,-0.22,A
0,0,0,0,0,-2.51,-8.04,-4.67,-0.17,0.00,-0.11,A
0,0,0,0,0,-3.18,-6.65,-5.32,-0.09,-0.08,-0.04,A
0,0,0,0,0,-3.36,-7.16,-4.73,-0.02,-0.03,-0.01,A
0,0,0,0,0,-3.10,-7.82,-4.27,-0.09,0.02,-0.01,A
0,0,0,0,0,-3.05,-7.80,-4.25,-0.12,0.02,-0.01,A
0,0,0,0,0,-3.14,-7.73,-4.17,-0.10,0.02,-0.01,A
0,0,0,0,0,-3.11,-7.75,-4.25,-0.08,0.01,-0.01,A
0,0,0,0,0,-3.05,-7.75,-4.06,-0.11,0.02,0.00,A
0,0,0,0,0,-3.06,-7.87,-4.13,-0.09,0.02,-0.01,A
0,0,0,0,0,-3.11,-7.72,-4.18,-0.09,0.02,-0.01,A
0,0,0,0,0,-3.09,-7.81,-4.19,-0.10,0.02,-0.00,A
0,0,0,0,0,-3.04,-7.75,-4.33,-0.11,0.02,-0.00,A
0,0,0,0,0,-3.10,-7.68,-4.19,-0.10,0.01,-0.01,A
0,0,0,0,0,-3.10,-7.79,-4.24,-0.11,0.01,-0.01,A
0,0,0,0,0,-3.06,-7.76,-4.20,-0.09,0.02,-0.00,A
0,0,0,0,0,-3.07,-7.71,-4.19,-0.10,0.02,-0.00,A
0,0,0,0,0,-3.06,-7.90,-4.11,-0.10,0.03,0.04,A
0,0,0,0,0,-3.15,-7.61,-4.15,-0.10,0.01,0.00,A
0,0,0,0,0,-3.19,-7.85,-4.17,-0.08,0.01,-0.01,A
0,0,0,0,0,-3.15,-7.62,-4.07,-0.12,0.04,0.01,A
0,0,0,0,0,-3.19,-7.78,-4.24,-0.12,0.03,0.01,A
0,0,0,0,0,-3.09,-7.69,-4.31,-0.09,0.03,-0.02,A
0,0,0,0,0,-3.13,-7.73,-4.30,-0.07,-0.01,-0.02,A
0,0,0,0,0,-3.06,-7.70,-4.18,-0.08,0.01,-0.01,A
0,0,0,0,0,-3.13,-7.82,-4.19,-0.09,0.01,-0.01,A
0,0,0,0,0,-3.13,-7.74,-4.15,-0.10,0.01,-0.01,A
0,0,0,0,0,-3.08,-7.78,-4.13,-0.11,0.01,-0.01,A
0,0,0,0,0,-3.11,-7.79,-4.22,-0.09,0.01,-0.01,A
0,0,0,0,0,-3.09,-7.76,-4.21,-0.10,0.02,-0.01,A
0,0,0,0,0,-3.05,-7.81,-4.21,-0.10,0.01,-0.01,A
0,0,0,0,0,-3.12,-7.77,-4.11,-0.11,0.01,-0.00,A
0,0,0,0,0,-3.11,-7.67,-4.15,-0.08,0.01,-0.00,A
0,0,0,0,0,-3.17,-7.82,-4.18,-0.11,0.02,-0.01,A
0,0,0,0,0,-3.00,-7.84,-4.17,-0.11,0.02,-0.00,A
0,0,0,0,0,-3.13,-7.77,-4.18,-0.09,0.02,-0.00,A
0,0,0,0,0,-3.08,-7.87,-4.11,-0.08,0.01,-0.01,A
0,0,0,0,0,-3.16,-7.84,-4.12,-0.08,0.01,-0.01,A
0,0,0,0,0,-3.14,-7.77,-4.18,-0.09,0.01,-0.01,A
